건축구분,대지위치,지목,대지면적,건축면적,연면적,허가일,착공처리일,공사종료일,주용도,데이터기준일자
신축,서울특별시 성북구 성북동 300-3 외1필지,대,181,72.1,333.84,2018-08-24,2021-12-16,,제2종근린생활시설,2022-10-18
신축,서울특별시 성북구 하월곡동 174,대,276,136.98,728.21,2019-09-05,2022-03-11,,공동주택,2022-10-18
신축,서울특별시 성북구 정릉동 800-43 외2필지,대,1125,673.87,2131.18,2020-07-02,2021-05-06,,공동주택,2022-10-18
신축,서울특별시 성북구 정릉동 266-13,대,287.34,172.27,777.72,2020-08-11,2021-08-11,,공동주택,2022-10-18
신축,서울특별시 성북구 석관동 178-11(179-20) 같은현장,대,168,82.2,747.52,2020-09-03,2021-12-06,,업무시설,2022-10-18
신축,서울특별시 성북구 석관동 179-20 외1필지,대,250,162.13,1084.15,2020-09-03,2021-12-06,,공동주택,2022-10-18
신축,서울특별시 성북구 성북동 1-65,대,464.5,139,768.5,2020-09-09,2021-01-28,,문화및집회시설,2022-10-18
신축,서울특별시 성북구 성북동 178-23,대,332,188.6,687.59,2020-09-29,2021-08-10,,공동주택,2022-10-18
신축,서울특별시 성북구 보문동2가 42 외5필지,대,627.7,327.29,2427.55,2020-11-12,2021-01-15,,업무시설,2022-10-18
신축,서울특별시 성북구 안암동5가 86-27 외3필지,대,309,154.42,599.96,2022-04-21,2022-09-01,,제2종근린생활시설,2022-10-18
신축,서울특별시 성북구 장위동 65-197 외1필지,대,372,210.63,659.96,2022-07-14,2022-08-30,,공동주택,2022-10-18
신축,서울특별시 성북구 정릉동 891-3,대,156,90.09,314.28,2020-12-23,2022-03-15,,단독주택,2022-10-18
신축,서울특별시 성북구 성북동 330-617,대,712,207.12,562.38,2021-07-22,2021-09-10,,단독주택,2022-10-18
신축,서울특별시 성북구 정릉동 300-5,대,148.38,88.29,374.91,2021-08-05,2022-02-11,,단독주택,2022-10-18
신축,서울특별시 성북구 정릉동 556-48,대,198,111.33,199.96,2021-08-18,2022-08-25,,단독주택,2022-10-18
신축,서울특별시 성북구 정릉동 685-131,대,69,32.78,134.81,2021-08-31,2022-02-18,,단독주택,2022-10-18
신축,서울특별시 성북구 정릉동 266-181,대,357,214.02,843.34,2021-09-03,2022-01-28,,제2종근린생활시설,2022-10-18
신축,서울특별시 성북구 정릉동 306,대,155.1,92.93,345.52,2021-09-06,2022-02-11,,단독주택,2022-10-18
신축,서울특별시 성북구 하월곡동 15-2,대,126.78,63.25,274.7,2021-12-16,2022-06-23,,공동주택,2022-10-18
신축,서울특별시 성북구 동선동4가 197,대,182.5,109.3,354.56,2021-09-27,2022-04-22,,단독주택,2022-10-18
신축,서울특별시 성북구 동소문동6가 29 외17필지,대,1161.74,674.18,2665.69,2021-09-30,2022-01-28,,공동주택,2022-10-18
신축,서울특별시 성북구 석관동 73-20,대,122,71.12,231.38,2022-06-27,2022-08-18,,공동주택,2022-10-18
신축,서울특별시 성북구 성북동 131-35,대,261,155.3,248.67,2021-09-30,2022-03-18,,제2종근린생활시설,2022-10-18
신축,서울특별시 성북구 삼선동5가 344 외1필지,대,159.7,79.72,324.23,2021-10-19,2022-05-04,,단독주택,2022-10-18
신축,서울특별시 성북구 장위동 65-239,대,635,176.8,1406.23,2021-12-08,2022-01-25,,공동주택,2022-10-18
신축,서울특별시 성북구 동선동3가 259-6 외1필지,대,308,152.86,1358.68,2021-12-16,2022-04-25,,업무시설,2022-10-18
신축,서울특별시 성북구 석관동 340-316 외1필지,대,297.9,177.59,676.8,2021-12-20,2022-02-04,,공동주택,2022-10-18
신축,서울특별시 성북구 정릉동 716-3,대,287.58,169.73,667.15,2021-12-23,2022-05-02,,공동주택,2022-10-18
신축,서울특별시 성북구 하월곡동 90-1780,대,168.59,101.1,751.21,2021-12-30,2022-04-25,,공동주택,2022-10-18
신축,서울특별시 성북구 돈암동 413-178,대,334.19,196.87,499.67,2021-01-29,2021-05-14,,공동주택,2022-10-18
신축,서울특별시 성북구 성북동 155-16,대,839,479.48,2520.08,2021-01-14,2021-04-09,,제2종근린생활시설,2022-10-18
신축,서울특별시 성북구 동선동5가 172-19 외2필지,대,246.9,141.9,524.42,2021-05-14,2021-08-13,,공동주택,2022-10-18
신축,서울특별시 성북구 장위동 219-396 외1필지,대,240.39,144.17,536.86,2021-05-20,2022-03-30,,공동주택,2022-10-18
신축,서울특별시 성북구 종암동 62-9,대,251,123.25,623.89,2021-06-15,2022-02-23,,제2종근린생활시설,2022-10-18
신축,서울특별시 성북구 성북동 113-37,대,492.43,246.11,631.7,2021-06-16,2021-11-29,,단독주택,2022-10-18
신축,서울특별시 성북구 성북동 1-8,대,1064,319.14,720.32,2021-11-19,2021-12-09,,문화및집회시설,2022-10-18
신축,서울특별시 성북구 종암동 82-1 외1필지,대,183,109.38,364.63,2022-01-20,2022-04-19,,단독주택,2022-10-18
신축,서울특별시 성북구 종암동 57-160,대,204,101.66,394.91,2022-01-27,2022-05-13,,공동주택,2022-10-18
신축,서울특별시 성북구 석관동 338-577 외1필지,대,377.34,217.88,746.08,2022-02-04,2022-02-26,,공동주택,2022-10-18
신축,서울특별시 성북구 종암동 82-45,대,113.14,66.38,299.11,2022-02-09,2022-05-02,,단독주택,2022-10-18
신축,서울특별시 성북구 안암동5가 160-21,대,186.5,110.14,450.72,2022-02-14,2022-05-13,,제2종근린생활시설,2022-10-18
신축,서울특별시 성북구 삼선동3가 86 외1필지,대,272.4,138.72,586.33,2022-07-15,2022-08-16,,공동주택,2022-10-18
신축,서울특별시 성북구 성북동 309,대,900,311.81,958.46,2022-02-28,2022-04-15,,단독주택,2022-10-18
신축,서울특별시 성북구 종암동 9-21 외7필지,대,388,231.65,658.82,2022-03-23,2022-04-19,,공동주택,2022-10-18
신축,서울특별시 성북구 하월곡동 53-13 외1필지,대,563.6,248.66,1138.56,2022-03-31,2022-05-10,,제2종근린생활시설,2022-10-18
신축,서울특별시 성북구 정릉동 405-6 외1필지,대,344,204.2,542.55,2022-04-03,2022-04-23,,단독주택,2022-10-18
신축,서울특별시 성북구 상월곡동 7-143,대,334,153.44,667.8,2022-04-14,2022-05-19,,제1종근린생활시설,2022-10-18
신축,서울특별시 성북구 정릉동 716-115,대,351,138.76,474.95,2021-09-07,2022-06-10,,단독주택,2022-10-18
신축,서울특별시 성북구 석관동 73-14 외1필지,대,228,136.62,413.9,2022-02-04,2022-06-08,,공동주택,2022-10-18
신축,서울특별시 성북구 안암동5가 15-12,대,205,121.4,409.83,2022-02-22,2022-06-06,,제2종근린생활시설,2022-10-18
신축,서울특별시 성북구 동선동3가 223,대,209.9,125.76,398.93,2021-12-23,2022-05-27,,단독주택,2022-10-18
신축,서울특별시 성북구 정릉동 284-15,대,142.8,85.2,285.47,2021-10-20,2022-05-26,,단독주택,2022-10-18
신축,서울특별시 성북구 장위동 219-210 외1필지,대,348.6,147.94,249.7,2022-05-19,2022-06-20,,단독주택,2022-10-18
신축,서울특별시 성북구 정릉동 165-93 외1필지,대,229,137.17,457.8,2022-05-18,2022-06-23,,공동주택,2022-10-18
신축,서울특별시 성북구 성북동 125-7,대,116,60.98,115.77,2022-03-24,2022-06-22,,단독주택,2022-10-18
신축,서울특별시 성북구 길음동 1125-1 외2필지,대,371.8,222.7,725.32,2022-03-15,2022-07-04,,공동주택,2022-10-18
신축,서울특별시 성북구 성북동 168-96 외1필지,대,258,124.75,402.92,2020-09-29,2021-10-28,,공동주택,2022-10-18
신축,서울특별시 성북구 안암동5가 103-230 외1필지,대,121,60.45,197.87,2022-06-14,2022-07-08,,단독주택,2022-10-18
신축,서울특별시 성북구 길음동 919-29 외5필지,종교용지,895.8,534.71,991.88,2022-06-13,2022-07-01,,종교시설,2022-10-18
신축,서울특별시 성북구 동소문동4가 15,대,92.72,46.32,199.8,2022-02-03,2022-07-28,,제2종근린생활시설,2022-10-18
신축,서울특별시 성북구 장위동 66-187,대,214,127.28,423.68,2022-07-14,2022-07-28,,공동주택,2022-10-18
신축,서울특별시 성북구 성북동 179-4 외1필지,대,512.5,275.65,1121.39,2019-06-25,2020-10-27,,공동주택,2022-10-18
신축,서울특별시 성북구 성북동 285 외13필지,종교용지,2957,1168.65,5924.97,2019-04-25,2019-11-07,,문화및집회시설,2022-10-18
신축,서울특별시 성북구 동선동5가 116-5 외1필지,대,428.9,220.44,962.41,2021-08-26,2022-03-02,,공동주택,2022-10-18
신축,서울특별시 성북구 동소문동6가 154-3,대,289.6,159.16,1217.89,2021-10-21,2022-05-06,,업무시설,2022-10-18
신축,서울특별시 성북구 장위동 219-267,대,254,151.55,497.34,2022-01-19,2022-06-08,,공동주택,2022-10-18
신축,서울특별시 성북구 장위동 50-39,대,365.5,218.77,2128.32,2021-09-07,2022-05-24,,공동주택,2022-10-18
